45 2021, [43, 47]
50 2491, [47, 53]
57 3233, [53, 61]
66 4331, [61, 71]
77 5893, [71, 83]
82 6683, [41, 163]
83 6847, [41, 167]
85 7181, [43, 167]
88 7697, [43, 179]
90 8051, [83, 97]
92 8413, [47, 179]
97 9353, [47, 199]
103 10547, [53, 199]
105 10961, [97, 113]
110 12031, [53, 227]
118 13847, [61, 227]
122 14803, [113, 131]
123 15047, [41, 367]
124 15293, [41, 373]
127 16043, [61, 263]
128 16297, [43, 379]
131 17071, [43, 397]
137 18673, [71, 263]
139 19223, [47, 409]
141 19781, [131, 151]
144 20633, [47, 439]
148 21797, [71, 307]
156 24221, [53, 457]
160 25481, [83, 307]
162 26123, [151, 173]
163 26447, [53, 499]
164 26773, [41, 653]
165 27101, [41, 661]
171 29111, [43, 677]
173 29797, [83, 359]
174 30143, [43, 701]
179 31903, [61, 523]
185 34081, [173, 197]
186 34451, [47, 733]
187 34823, [97, 359]
188 35197, [61, 577]
191 36331, [47, 773]
202 40643, [97, 419]
205 41861, [41, 1021]
206 42271, [41, 1031]
208 43097, [71, 607]
209 43513, [53, 821]
210 43931, [197, 223]
214 45623, [43, 1061]
216 46481, [53, 877]
217 46913, [43, 1091]
218 47347, [113, 419]
219 47783, [71, 673]
233 54097, [47, 1151]
235 55031, [113, 487]
237 55973, [223, 251]
238 56447, [47, 1201]
240 57401, [61, 941]
243 58847, [83, 709]
245 59821, [163, 367]
246 60311, [41, 1471]
247 60803, [41, 1483]
249 61793, [61, 1013]
250 62291, [167, 373]
252 63293, [167, 379]
253 63797, [131, 487]
256 65321, [83, 787]
257 65833, [43, 1531]
260 67381, [43, 1567]
262 68423, [53, 1291]
266 70531, [251, 281]
267 71063, [179, 397]
269 72133, [53, 1361]
271 73211, [179, 409]
272 73753, [131, 563]
279 77603, [71, 1093]
280 78161, [47, 1663]
284 80413, [97, 829]
285 80981, [47, 1723]
287 82123, [41, 2003]
288 82697, [41, 2017]
290 83851, [71, 1181]
292 85013, [151, 563]
296 87361, [199, 439]
297 87953, [281, 313]
299 89143, [97, 919]
300 89741, [43, 2087]
301 90341, [61, 1481]
302 90943, [199, 457]
303 91547, [43, 2129]
310 95831, [61, 1571]
313 97697, [151, 647]
315 98951, [53, 1867]
322 103403, [53, 1951]
326 105991, [83, 1277]
327 106643, [47, 2269]
328 107297, [41, 2617]
329 107953, [41, 2633]
330 108611, [313, 347]
331 109271, [113, 967]
332 109933, [47, 2339]
335 111931, [173, 647]
337 113273, [227, 499]
339 114623, [83, 1381]
343 117347, [43, 2729]
345 118721, [227, 523]
346 119411, [43, 2777]
348 120797, [113, 1069]
350 122191, [71, 1721]
358 127847, [173, 739]
361 130001, [71, 1831]
362 130723, [61, 2143]
365 132901, [347, 383]
368 135097, [53, 2549]
369 135833, [41, 3313]
370 136571, [41, 3331]
371 137311, [61, 2251]
374 139543, [47, 2969]
375 140291, [53, 2647]
379 143303, [47, 3049]
381 144821, [97, 1493]
382 145583, [197, 739]
384 147113, [131, 1123]
386 148651, [43, 3457]
389 150973, [43, 3511]
390 151751, [263, 577]
396 156461, [97, 1613]
400 159641, [263, 607]
402 161243, [383, 421]
403 162047, [131, 1237]
407 165283, [197, 839]
408 166097, [163, 1019]
409 166913, [83, 2011]
410 167731, [41, 4091]
411 168551, [41, 4111]
417 173513, [167, 1039]
419 175183, [167, 1049]
421 176861, [47, 53, 71]
422 177703, [83, 2141]
423 178547, [61, 2927]
426 181091, [47, 3853]
428 182797, [53, 3449]
429 183653, [43, 4271]
432 186233, [43, 61, 71]
433 187097, [223, 839]
441 194081, [421, 461]
443 195847, [151, 1297]
444 196733, [113, 1741]
446 198511, [179, 1109]
450 202091, [179, 1129]
451 202991, [41, 4951]
452 203893, [41, 4973]
455 206611, [307, 673]
460 211181, [223, 947]
461 212101, [113, 1877]
464 214873, [151, 1423]
467 217663, [307, 709]
468 218597, [47, 4651]
472 222353, [43, 5171]
473 223297, [47, 4751]
474 224243, [53, 4231]
475 225191, [43, 5237]
478 228047, [97, 2351]
481 230921, [53, 4357]
482 231883, [461, 503]
484 233813, [61, 3833]
488 237697, [251, 947]
490 239651, [367, 653]
492 241613, [41, 71, 83]
493 242597, [41, 61, 97]
495 244571, [199, 1229]
497 246553, [373, 661]
501 250541, [199, 1259]
503 252547, [71, 3557]
505 254561, [83, 3067]
507 256583, [379, 677]
508 257597, [173, 1489]
515 264751, [43, 47, 131]
517 266813, [251, 1063]
518 267847, [43, 6229]
520 269921, [47, 5743]
525 275141, [503, 547]
527 277243, [53, 5231]
528 278297, [397, 701]
531 281471, [173, 1627]
532 282533, [359, 787]
533 283597, [41, 6917]
534 284663, [41, 53, 131]
545 296521, [61, 4861]
546 297611, [359, 829]
547 298703, [281, 1063]
548 299797, [409, 733]
554 306403, [61, 5023]
557 309733, [113, 2741]
558 310847, [43, 7229]
561 314201, [43, 7307]
562 315323, [47, 6709]
563 316447, [71, 4457]
564 317573, [227, 1399]
567 320963, [47, 6829]
570 324371, [547, 593]
571 325511, [163, 1997]
572 326653, [227, 1439]
574 328943, [41, 71, 113]
575 330091, [41, 83, 97]
578 333547, [281, 1187]
579 334703, [197, 1699]
580 335861, [53, 6337]
583 339347, [439, 773]
584 340513, [167, 2039]
586 342851, [167, 2053]
587 344023, [53, 6491]
588 345197, [83, 4159]
590 347551, [97, 3583]
594 352283, [151, 2333]
601 360641, [43, 8387]
604 364253, [43, 43, 197]
606 366671, [61, 6011]
609 370313, [47, 7879]
610 371531, [313, 1187]
612 373973, [367, 1019]
613 375197, [457, 821]
614 376423, [47, 8009]
615 377651, [41, 61, 151]
616 378881, [41, 9241]
617 380113, [593, 641]
621 385061, [419, 919]
623 387547, [373, 1039]
625 390041, [179, 2179]
629 395053, [179, 2207]
631 397571, [379, 1049]
633 400097, [53, 7549]
634 401363, [71, 5653]
637 405173, [419, 967]
640 409001, [53, 7717]
643 412847, [313, 1319]
644 414133, [43, 9631]
645 415421, [71, 5851]
646 416711, [131, 3181]
647 418003, [43, 9721]
653 425797, [263, 1619]
656 429721, [41, 47, 223]
657 431033, [41, 10513]
658 432347, [83, 5209]
661 436301, [47, 9283]
662 437623, [499, 877]
663 438947, [263, 1669]
664 440273, [397, 1109]
665 441601, [131, 3371]
666 442931, [641, 691]
667 444263, [61, 7283]
670 448271, [113, 3967]
671 449611, [83, 5417]
672 450953, [97, 4649]
676 456341, [61, 7481]
677 457693, [347, 1319]
680 461761, [409, 1129]
681 463121, [173, 2677]
683 465847, [223, 2089]
686 469951, [53, 8867]
687 471323, [43, 97, 113]
690 475451, [43, 11057]
693 479597, [53, 9049]
694 480983, [199, 2417]
697 485153, [41, 11833]
698 486547, [41, 11867]
700 489341, [199, 2459]
702 492143, [523, 941]
703 493547, [47, 10501]
704 494953, [173, 2861]
705 496361, [71, 6991]
708 500597, [47, 10651]
712 506273, [347, 1459]
716 511981, [71, 7211]
717 513413, [691, 743]
722 520603, [487, 1069]
728 529297, [61, 8677]
730 532211, [43, 12377]
733 536597, [43, 12479]
734 538063, [163, 3301]
735 539531, [439, 1229]
737 542473, [61, 8893]
738 543947, [41, 13267]
739 545423, [41, 53, 251]
740 546901, [487, 1123]
741 548381, [83, 6607]
745 554321, [151, 3671]
746 555811, [53, 10487]
748 558797, [383, 1459]
750 561791, [47, 11953]
751 563291, [167, 3373]
753 566297, [167, 3391]
754 567803, [83, 6841]
755 569311, [47, 12113]
759 575363, [457, 1259]
762 579923, [307, 1889]
765 584501, [577, 1013]
766 586031, [151, 3881]
768 589097, [251, 2347]
769 590633, [97, 6089]
770 592171, [743, 797]
773 596797, [43, 13879]
774 598343, [307, 1949]
776 601441, [43, 71, 197]
777 602993, [131, 4603]
779 606103, [41, 14783]
780 607661, [41, 14821]
783 612347, [113, 5419]
784 613913, [97, 6329]
785 615481, [383, 1607]
787 618623, [71, 8713]
789 621773, [61, 10193]
791 624931, [227, 2753]
792 626513, [53, 11821]
796 632861, [131, 4831]
797 634453, [47, 13499]
798 636047, [61, 10427]
799 637643, [53, 53, 227]
800 639241, [113, 5657]
801 640841, [197, 3253]
802 642443, [47, 13669]
804 645653, [179, 3607]
808 652097, [179, 3643]
815 663451, [607, 1093]
816 665081, [43, 15467]
817 666713, [653, 1021]
819 669983, [43, 15581]
820 671621, [41, 16381]
821 673261, [41, 16421]
823 676547, [421, 1607]
824 678193, [83, 8171]
825 679841, [797, 853]
826 681491, [661, 1031]
828 684797, [281, 2437]
835 696431, [563, 1237]
836 698101, [499, 1399]
837 699773, [83, 8431]
844 711533, [47, 15139]
845 713221, [53, 13457]
847 716603, [71, 10093]
848 718297, [677, 1061]
849 719993, [47, 15319]
